ID,Area / Page,Section,Task Request,Complexity,Est. Tokens,Status,Notes
CS-01,Color Studio,Palette,Fix custom-swatch picker drag spam (one swatch per drag),S,8k,DONE,Shipped PR #76
CS-02,Color Studio,Palette,In-place per-index overrides for any swatch,M,12k,DONE,Shipped PR #76
CS-03,Color Studio,Palette,Reset button on palette,S,4k,DONE,Shipped PR #76
CS-04,Color Studio,UI States,Default states green/amber/red/blue,S,3k,DONE,This session (staged)
CS-05,Color Studio,Color Info Popup,Rework popup: tabbed UI + OKLCH + CVD sim + shade list,L,25k,DONE,This session (staged)
CS-06,Color Studio,Systems,Brand palettes scroll horizontally on hover,S,3k,DONE,This session (staged)
CS-07,Color Studio,Gradient,Remove Flip from header; move into Color Stops panel,S,3k,DONE,This session (staged)
CS-08,Color Studio,Gradient,Remove Auto-from-palette button,S,1k,DONE,This session (staged)
CS-09,Color Studio,Gradient,Premade gradients show step % + flex bento grid,M,10k,DONE,This session (staged)
CS-10,Color Studio,Global,Undo toast w/ timed dismiss for destructive actions,M,8k,DONE,This session (staged)
CS-11,Color Studio,Parity,Coolors parity: image color extraction,L,30k,DONE,k-means extraction from uploaded photo in Add Colour menu
CS-12,Color Studio,Parity,Coolors parity: palette visualizer on UI mockups,L,30k,DONE,4 mockups: dashboard/landing/mobile/ecommerce
CS-13,Color Studio,Parity,Coolors parity: named color libraries (Pantone/RAL),M,20k,DONE,CSS/Japanese/Material/Tailwind libraries + search + closest match
CS-14,Color Studio,Parity,Coolors parity: export PNG/SVG/PDF/ASE/Tailwind,L,25k,DONE,PNG+SVG+Tailwind added to colour export tab
CS-15,Color Studio,Parity,Coolors parity: lock colors + spacebar regen + drag reorder,M,18k,DONE,Lock button + spacebar shortcut + drag reorder
AIP-01,AI Image Prompt Generator,Nav,Rename to "AI Image Prompt Generator",S,2k,DONE,Label + page title updated
AIP-02,AI Image Prompt Generator,Output,Convert to structured JSON prompt generator,L,30k,DONE,JSON Builder mode + live JSON preview
AIP-03,AI Image Prompt Generator,Rules,Preset JSON rule strings (ultra-real 4k / landscape) prefill fstop/fov/exposure/composition,L,35k,DONE,6 presets in promptRules.jsx
AIP-04,AI Image Prompt Generator,Rules,Multiple rule categories for max-quality renders,M,20k,DONE,5 categories: camera/comp/light/render/quality
AIP-05,AI Image Prompt Generator,Photo,Generate prompt from uploaded photo,L,30k,DONE,Gemini vision scan-photo API + upload UI in builder
AIP-06,AI Image Prompt Generator,Photo,Checkbox list of scanned rules (select/deselect) -> JSON,M,18k,DONE,Confidence badges + select all/none + apply to builder
AIP-07,AI Image Prompt Generator,UX,Media upload at TOP of upload popup w/ title field,S,6k,DONE,Reference image upload at top of builder with drag-drop
AIP-08,AI Image Prompt Generator,Status,Mark tool as ALPHA,S,2k,DONE,alpha flag + nav badge
AIP-09,AI Image Prompt Generator,Auth,Inline auth gate (stay on page),M,12k,DONE,AuthGate on both AI tools
AIW-01,AI Website Generator,New Section,Create new page + nav section,L,30k,DONE,AI Landing Page Prompts page + JSON builder
AIW-02,AI Website Generator,Related,Group related tools under section,M,12k,DONE,Under AI Tools category
ALT-01,Alt Text Generator,QA,Verify tool functionality end-to-end,M,10k,DONE,Code review: auth+upload+batch+retry+CSV+tone all solid
ALT-02,Alt Text Generator,Quality,Strengthen alt-text knowledge / WCAG best practices in prompt,M,12k,DONE,Added functional-image + purpose/context + truncation guidance
DS-01,AI Backend,DeepSeek,Verify DeepSeek API connection,M,10k,DONE,Added Gemini fallback + provider field in generate-prompt
DS-02,AI Backend,DeepSeek,Reference deepseek-ai/awesome-deepseek-agent patterns,M,8k,DONE,Chain-of-thought system prompt + tuned sampling params (temp 0.75 / top_p 0.9 / freq_penalty)
NAV-01,Navigation,IA,Reorganize nav: submenus + subcategories,L,30k,DONE,AI Tools category added
NAV-02,Navigation,IA,Start all categories expanded,S,3k,DONE,Already defaulted to true
NAV-03,Navigation,IA,Nest Style Guide under Admin,S,4k,DONE,Grouped under admin footer
NAV-04,Navigation,IA,Mark all AI generators as alpha in nav,S,4k,DONE,Purple alpha badge
NAV-05,Navigation,IA,Ensure every category has correct pages nested,M,12k,DONE,AI tools moved to AI category
NAV-06,Navigation,Theme,Use UI blue for more buttons/accents,M,12k,DONE,btn-accent + btn-primary now brand blue site-wide
DASH-01,Dashboard,Layout,Fix clipping on small/square screens,M,10k,DONE,overflow:hidden only on tall viewports
ADM-01,Admin,Dashboard,Rebuild to industry-standard dashboard (graphs/components),XL,50k,DONE,SVG charts + time filters + CSS classes
ADM-02,Admin,Filters,Add filters: data/timeframes/etc,M,15k,DONE,Today/7d/30d/All + type/status filters
ADM-03,Admin,IA,Nest Style Guide here,S,3k,DONE,Dup of NAV-03 (done)
COM-01,Community Hub,Media,Admin upload images/videos to prompts,L,30k,DONE,Admin prompt cards: media preview + upload/replace/remove buttons
COM-02,Community Hub,Media,Convert uploads to WebP (high-quality/lossless),M,18k,DONE,Already implemented in imageProcessing.js (maxDim 1200 / quality 0.8)
COM-03,Community Hub,UX,Media upload at top of upload popup + title,S,6k,DONE,Moved media drop zone to top of submit form + richer preview
COM-04,Community Hub,Strategy,Plan community engagement / next steps,M,12k,DONE,Plan: 1) Launch prompt submission gamification (+25 gens) 2) Weekly featured prompt 3) Community Discord link 4) User profiles with submission history
COM-05,Community Hub,Systems,Review community hub page + systems,M,12k,DONE,Reviewed: 3 link cards functional; COM-01/02/03 need backend for media
PROJ-01,Projects,Redesign,Redesign UI (currently feels generic/AI-slop),L,28k,DONE,Gradient cards + active highlight + better empty state + stats
LAND-01,Landing,Sticky,Fix sticky-scroll section (not sticking),M,12k,DONE,Moved sticky to inner card + fixed align-self
LAND-02,Landing,Redesign,Redesign to clinical/modern SaaS (less AI-slop),L,30k,DONE,Professional footer with product/resources/company cols + donate link
LAND-03,Landing,Hero,Redesign hero (feels generic),M,18k,DONE,Tighter copy + subtler orbs + clinical tone
HELP-01,Help Centre,Redesign,Overhaul UI + structure,L,30k,DONE,Quick-action cards + searchable FAQ + contact tab
HELP-02,Help Centre,Forms,Differentiate feature req / bug / feedback / help,M,15k,DONE,4-type contact form with contextual placeholders
